Symbol,Exchange,MarketCap,Price,AvgVol90d,Sector
GCMG,NASDAQ,2434690422,12.05,577851.8222222222,Finance
GEF,NYSE,3560309650.0000005,68.91,222660.8,Process industries
GIS,NYSE,17835625174,33.42,9424690.166666666,Consumer non-durables
GLBE,NASDAQ,5564255869,32.84,1680022.0111111111,Retail trade
GLIBK,NASDAQ,818048085.9999999,20.42,637088.7555555556,Technology services
GLOB,NYSE,1327339480,30.74,1624022.6222222222,Technology services
GNK,NYSE,1031904540.0000001,23.68,422497.2111111111,Transportation
GPGI,NYSE,4179802134,14.42,3799140.933333333,Commercial services
GSM,NASDAQ,730624647,3.91,1357712.588888889,Non-energy minerals
HAYW,NYSE,3254444733,15,2418427.422222222,Consumer durables
HG,NYSE,3114653176,31.38,514228.13333333336,Finance
IAG,NYSE,9756639750.58016,16.88,7165017.122222222,Non-energy minerals
ICL,NYSE,6634292320,5.14,1611421.7333333334,Process industries
IMAX,NYSE,2431730009,44.33,1110345.9,Consumer durables
INDB,NASDAQ,3910415610.9999995,81.05,336374.9555555555,Finance
INDI,NASDAQ,964340880,4.25,5574409.066666666,Electronic technology
INN,NYSE,803987506,6.63,1475491.6888888888,Finance
IR,NYSE,30489055651.999996,77.91,3890230.9777777777,Producer manufacturing
ITGR,NYSE,3088532361.9999995,90.96,708415.6222222223,Health technology
JJSF,NASDAQ,1398629804,74.58,257144.36666666667,Consumer non-durables
KDP,NASDAQ,41850808939,30.76,11520898.666666653,Consumer non-durables
KIM,NYSE,16441623526.999998,24.38,5482012.433333334,Finance
KKR/PD,NYSE,87102654353,41.19,363796.26666666666,Finance
KMX,NYSE,7610100054,53.66,3499688.2555555557,Retail trade
KNTK,NYSE,7777951667.999999,46.53,1235301.7777777778,Industrial services
KRG,NYSE,5667587200,27.91,1983210.411111111,Finance
KTOS,NASDAQ,10165458433,54.21,4384906.844444444,Electronic technology
LGN,NASDAQ,9244805843,85.57,1489512.1222222222,Industrial services
LWLG,NASDAQ,1506898646,9.78,6734573.144444444,Process industries
LXU,NYSE,818664039,11.38,1382407.911111111,Process industries
MANU,NYSE,3857233776.0000005,22.37,373038.35555555555,Consumer services
MBLY,NASDAQ,7124894746.000001,8.46,6184586.588888889,Technology services
MBUU,NASDAQ,535109697.00000006,27.25,331712.4666666667,Consumer durables
