nr,tf,bar_start_dk,bar_start_et,close,atr,vwap,vwap_dist_atr,z,adx,cmf,rvol,rsi,stoch_k,wt1,wt2,wt_diff,macd_line,macd_hist,dot_type
1,1h,2024-06-28 15:00:00+02:00,2024-06-28 09:00:00-04:00,5562.0,7.675895281808957,5559.263740507861,0.35647431233505517,1.0356228555440778,16.91730419936061,0.2993554350186022,4.709852773580482,59.24217529143662,32.986277480428306,33.51419076068087,47.35262028757929,-13.838429526898423,6.016054529499343,-0.43032909943094566,alm_roed
2,1h,2024-09-17 19:00:00+02:00,2024-09-17 13:00:00-04:00,5635.75,13.370911479328024,5649.623231199751,-1.0375680985697626,-0.3163910742031873,30.157263471667907,-0.14983227390729886,2.9974485124461316,46.0434278675043,24.591920107148287,19.955161531484126,44.69123933532546,-24.736077803841336,4.290572666886874,-2.0685320943715215,ingen
3,1h,2024-12-06 14:00:00+01:00,2024-12-06 08:00:00-05:00,6094.75,6.6389732086392295,6086.691524264184,1.2138135646230923,0.6953699358491157,19.022466565108886,-0.012263800655798072,1.9829103361088498,59.12237943486034,65.11544781336788,-10.672146610119857,-29.865314056225213,19.193167446105356,-1.0381121537193394,0.3523339909943066,ingen
4,1h,2025-02-28 18:00:00+01:00,2025-02-28 12:00:00-05:00,5860.5,22.799694749047788,5887.1018574834525,-1.1667637561052646,-1.1474161301207708,44.77465872603796,0.15820202415420465,3.0058422755780887,34.752574700276455,64.4895384515804,-11.196274289913719,-3.461122788483433,-7.735151501430286,-14.533798434166783,2.9653961224662986,udvandet_roed
5,1h,2025-05-20 21:00:00+02:00,2025-05-20 15:00:00-04:00,5959.5,15.470844642849013,5958.529022227835,0.06276178156913989,-0.6406550626846468,18.440914197757806,0.03425395282236051,4.077984432646249,50.25359472857978,25.0184706697401,-55.95820345818672,-42.84998507431742,-13.1082183838693,0.5545369139563263,-2.6205351569576814,ingen
6,1h,2025-08-11 14:00:00+02:00,2025-08-11 08:00:00-04:00,6417.75,9.037982586615684,6420.588953545112,-0.3141136329822779,0.5154659909734521,10.616715641204323,0.14382946832768462,0.5414696290962466,54.4780161016856,28.248856336225128,18.539509912436948,18.597742041909957,-0.0582321294730086,6.810923232785171,-1.646267308175009,udvandet_roed
7,1h,2025-10-28 20:00:00+01:00,2025-10-28 15:00:00-04:00,6925.5,9.960634649125652,6919.490110048803,0.6033641593032762,1.4826534399609308,53.11858393259852,-0.07997305039162743,3.194614597275805,64.91211117349964,68.33950739344523,84.73402112409454,83.09582161871629,1.6381995053782532,10.799088658656729,0.48932773581161015,ingen
8,1h,2026-01-20 20:00:00+01:00,2026-01-20 14:00:00-05:00,6834.75,20.728997660719486,6875.606132035101,-1.9709651524791982,-2.520548775608006,41.29326974719349,-0.08147232644088664,1.9569056441428314,31.235052824351314,47.29010357179572,-51.06335711805956,-35.3480655683943,-15.71529154966526,-16.005370569007937,-1.7815341863127419,ingen
9,1h,2026-04-10 19:00:00+02:00,2026-04-10 13:00:00-04:00,6856.75,14.809901085243093,6864.589600699606,-0.529348619851206,0.09251393690175298,25.191361101481736,-0.0003840996796952374,2.1894103026217437,52.23034306358939,0.6584073825430351,2.7961173900005853,21.11493342864567,-18.318816038645085,7.46546658025909,-2.9118452966677317,ingen
10,1h,2026-06-30 21:00:00+02:00,2026-06-30 15:00:00-04:00,7544.75,17.73046515224935,7528.300788012054,0.927737193959584,1.5608038275421967,21.731056719584316,0.03235599958671437,3.329749014748969,64.38042847508314,79.49968320368643,77.67743641647158,80.36599641455538,-2.6885599980838037,19.804167650293493,2.502028637469021,kraftig_roed
