datetime,close,high,low,open,volume
2025-04-14,184.54129028320312,185.96593999256433,181.09839688298416,185.80764222572287,35214600
2025-04-15,184.7688446044922,187.03443812250947,183.8586550365221,184.35332426451282,30715500
2025-04-16,182.99794006347656,184.73917035567794,180.61363070087228,183.72015292779608,35063300
2025-04-17,184.4918212890625,185.4316897533257,182.49336858284985,183.0177167291053,42359200
2025-04-21,180.79171752929688,183.31451855212384,178.8427195347715,183.02761703797304,26019000
2025-04-22,185.47128295898438,186.09457102174005,182.58241645711354,183.17601047754604,34477100
2025-04-23,188.2216339111328,193.42554855208022,187.81600153693162,190.86316567406905,44866100
2025-04-24,191.99102783203125,192.2977203531515,187.86548807842095,188.72620774686908,29820100
2025-04-25,192.05035400390625,192.18886076785955,189.50776231645517,190.66528636437317,25029000
2025-04-28,192.8616485595703,194.0587396842588,190.47733916443363,192.42633720655363,22482300
2025-04-29,193.99937438964844,194.76116922836817,190.9522101308763,192.39665092023128,20118200
2025-04-30,192.78248596191406,193.39587095422277,188.68662548917814,191.0808226644386,29046100
2025-05-01,193.97959899902344,195.56253147654894,191.67443857687076,193.6234365497615,33169700
2025-05-02,198.3425750732422,199.06480303586073,196.06709354050142,196.2155033707866,30201800
2025-05-05,196.81900024414062,198.36236586240614,195.96816854482665,196.45294983614636,20834200
2025-05-06,194.67213439941406,196.47272255957188,193.55417710082972,194.4940456253593,24642100
2025-05-07,195.31520080566406,196.4430460684169,193.94990887323956,195.98795882168017,23623300
2025-05-08,199.03509521484375,200.5784758239909,196.14622885267113,197.6401395218144,32646300
2025-05-09,198.6690673828125,200.12339622659167,197.8281386917174,199.3912802813078,17203000
2025-05-12,205.65377807617188,207.49394819080115,203.62564633740706,206.61343757711927,38207200
2025-05-13,206.4056854248047,207.375232877817,205.74283047557435,206.7024748825894,28295800
2025-05-14,204.57540893554688,206.31663921935478,204.32807431645503,205.82196998117112,26316100
2025-05-15,205.91102600097656,205.97038389535874,203.20023308736762,204.3775483129719,21563700
2025-05-16,207.61268615722656,207.8896997240591,205.56474825659961,206.1979242802322,28906400
2025-05-19,206.7420654296875,206.86078121771402,204.06095147993213,204.5952027182662,25859600
2025-05-20,206.8508758544922,207.5236187248201,205.74282166990216,206.43535553527093,22053100
2025-05-21,201.04347229003906,205.39655541477788,200.67740679960082,204.4270079644337,36704400
2025-05-22,201.0335693359375,202.19109350696147,199.3813759415987,200.13326772643887,31831300
2025-05-23,200.400390625,201.09292450905807,197.52141216115888,197.65003098823627,29114600
2025-05-27,205.48561096191406,205.53508090794864,201.98335918584232,203.4475759925964,31655900
2025-05-28,203.31893920898438,205.81207632724664,203.01224670518715,205.49549587355833,26046700
2025-05-29,203.9224395751953,204.85242014767312,202.2900371463869,204.74359231267877,32749500
