datetime,open,high,low,close,volume,dividends,stock splits
2026-04-02 09:30:00-04:00,1.309999942779541,1.3300000429153442,1.309999942779541,1.315000057220459,15602,0.0,0.0
2026-04-02 09:31:00-04:00,1.315000057220459,1.315000057220459,1.315000057220459,1.315000057220459,149,0.0,0.0
2026-04-02 09:33:00-04:00,1.315000057220459,1.315000057220459,1.3101999759674072,1.315000057220459,1970,0.0,0.0
2026-04-02 09:34:00-04:00,1.315000057220459,1.315000057220459,1.309999942779541,1.3114999532699585,1154,0.0,0.0
2026-04-02 09:38:00-04:00,1.309999942779541,1.309999942779541,1.309999942779541,1.309999942779541,472,0.0,0.0
2026-04-02 09:40:00-04:00,1.3116999864578247,1.315000057220459,1.3116999864578247,1.315000057220459,3022,0.0,0.0
2026-04-02 09:42:00-04:00,1.315000057220459,1.315000057220459,1.309999942779541,1.309999942779541,443,0.0,0.0
2026-04-02 09:43:00-04:00,1.315000057220459,1.315000057220459,1.315000057220459,1.315000057220459,700,0.0,0.0
2026-04-02 09:45:00-04:00,1.3171000480651855,1.3171000480651855,1.3171000480651855,1.3171000480651855,0,0.0,0.0
2026-04-02 09:46:00-04:00,1.309999942779541,1.309999942779541,1.309999942779541,1.309999942779541,224,0.0,0.0
2026-04-02 09:47:00-04:00,1.315000057220459,1.315000057220459,1.311900019645691,1.315000057220459,2144,0.0,0.0
2026-04-02 09:49:00-04:00,1.315000057220459,1.3199000358581543,1.315000057220459,1.3199000358581543,2052,0.0,0.0
2026-04-02 09:50:00-04:00,1.309999942779541,1.309999942779541,1.309999942779541,1.309999942779541,58,0.0,0.0
2026-04-02 09:51:00-04:00,1.315000057220459,1.315000057220459,1.315000057220459,1.315000057220459,302,0.0,0.0
2026-04-02 09:54:00-04:00,1.315000057220459,1.315000057220459,1.315000057220459,1.315000057220459,300,0.0,0.0
2026-04-02 09:55:00-04:00,1.3100999593734741,1.315000057220459,1.3100999593734741,1.315000057220459,968,0.0,0.0
2026-04-02 09:56:00-04:00,1.315000057220459,1.315000057220459,1.315000057220459,1.315000057220459,322,0.0,0.0
2026-04-02 09:58:00-04:00,1.309999942779541,1.3100999593734741,1.309999942779541,1.3100999593734741,1301,0.0,0.0
2026-04-02 09:59:00-04:00,1.3199000358581543,1.3199000358581543,1.3199000358581543,1.3199000358581543,0,0.0,0.0
2026-04-02 10:00:00-04:00,1.309999942779541,1.315000057220459,1.309999942779541,1.315000057220459,534,0.0,0.0
2026-04-02 10:02:00-04:00,1.315000057220459,1.315000057220459,1.315000057220459,1.315000057220459,212,0.0,0.0
2026-04-02 10:03:00-04:00,1.309999942779541,1.309999942779541,1.309999942779541,1.309999942779541,22,0.0,0.0
2026-04-02 10:04:00-04:00,1.315000057220459,1.315000057220459,1.309999942779541,1.309999942779541,22740,0.0,0.0
2026-04-02 10:05:00-04:00,1.315000057220459,1.315000057220459,1.315000057220459,1.315000057220459,1227,0.0,0.0
2026-04-02 10:06:00-04:00,1.3116999864578247,1.3116999864578247,1.3116999864578247,1.3116999864578247,1885,0.0,0.0
2026-04-02 10:07:00-04:00,1.3200000524520874,1.3200000524520874,1.315000057220459,1.315000057220459,737,0.0,0.0
2026-04-02 10:08:00-04:00,1.3200000524520874,1.3200000524520874,1.3200000524520874,1.3200000524520874,530,0.0,0.0
2026-04-02 10:10:00-04:00,1.3200000524520874,1.3200000524520874,1.3111000061035156,1.3200000524520874,2984,0.0,0.0
2026-04-02 10:11:00-04:00,1.3200000524520874,1.3200000524520874,1.309999942779541,1.3194999694824219,5606,0.0,0.0
2026-04-02 10:13:00-04:00,1.315000057220459,1.3250000476837158,1.315000057220459,1.3209999799728394,11600,0.0,0.0
2026-04-02 10:14:00-04:00,1.3200000524520874,1.3200000524520874,1.315000057220459,1.315000057220459,3759,0.0,0.0
2026-04-02 10:15:00-04:00,1.315000057220459,1.315000057220459,1.315000057220459,1.315000057220459,444,0.0,0.0
2026-04-02 10:18:00-04:00,1.315000057220459,1.3200000524520874,1.315000057220459,1.3200000524520874,4926,0.0,0.0
2026-04-02 10:19:00-04:00,1.3200000524520874,1.3250000476837158,1.3200000524520874,1.3250000476837158,1801,0.0,0.0
2026-04-02 10:20:00-04:00,1.3274999856948853,1.3274999856948853,1.3200000524520874,1.3200000524520874,306,0.0,0.0
2026-04-02 10:22:00-04:00,1.3250000476837158,1.3250000476837158,1.3250000476837158,1.3250000476837158,252,0.0,0.0
2026-04-02 10:24:00-04:00,1.3200000524520874,1.3224999904632568,1.3200000524520874,1.3224999904632568,367,0.0,0.0
2026-04-02 10:25:00-04:00,1.3274999856948853,1.3274999856948853,1.3274999856948853,1.3274999856948853,300,0.0,0.0
2026-04-02 10:26:00-04:00,1.3200000524520874,1.3250000476837158,1.3200000524520874,1.3250000476837158,139,0.0,0.0
2026-04-02 10:28:00-04:00,1.3200000524520874,1.3200000524520874,1.3200000524520874,1.3200000524520874,103,0.0,0.0
2026-04-02 10:29:00-04:00,1.3250000476837158,1.3250000476837158,1.3200000524520874,1.3250000476837158,900,0.0,0.0
2026-04-02 10:30:00-04:00,1.3200000524520874,1.3200000524520874,1.3200000524520874,1.3200000524520874,38,0.0,0.0
2026-04-02 10:31:00-04:00,1.3209999799728394,1.3250000476837158,1.3200000524520874,1.3250000476837158,2258,0.0,0.0
2026-04-02 10:33:00-04:00,1.3220000267028809,1.3250000476837158,1.3220000267028809,1.3250000476837158,792,0.0,0.0
2026-04-02 10:36:00-04:00,1.3300000429153442,1.340000033378601,1.3300000429153442,1.340000033378601,11136,0.0,0.0
2026-04-02 10:37:00-04:00,1.340000033378601,1.3450000286102295,1.340000033378601,1.340000033378601,11542,0.0,0.0
2026-04-02 10:38:00-04:00,1.340000033378601,1.340000033378601,1.3350000381469727,1.3350000381469727,14197,0.0,0.0
2026-04-02 10:39:00-04:00,1.3350000381469727,1.3388999700546265,1.332800030708313,1.3388999700546265,5501,0.0,0.0
2026-04-02 10:40:00-04:00,1.3350000381469727,1.3350000381469727,1.3350000381469727,1.3350000381469727,1355,0.0,0.0
2026-04-02 10:41:00-04:00,1.3350000381469727,1.3350000381469727,1.3350000381469727,1.3350000381469727,390,0.0,0.0
2026-04-02 10:43:00-04:00,1.332200050354004,1.3398000001907349,1.3300000429153442,1.3355000019073486,2052,0.0,0.0
2026-04-02 10:47:00-04:00,1.3350000381469727,1.3350000381469727,1.3350000381469727,1.3350000381469727,1594,0.0,0.0
2026-04-02 10:49:00-04:00,1.3300000429153442,1.3300000429153442,1.3300000429153442,1.3300000429153442,1541,0.0,0.0
2026-04-02 10:51:00-04:00,1.3320000171661377,1.3320000171661377,1.3300000429153442,1.3301000595092773,1409,0.0,0.0
2026-04-02 10:52:00-04:00,1.3300000429153442,1.3350000381469727,1.3300000429153442,1.3300000429153442,11340,0.0,0.0
2026-04-02 10:53:00-04:00,1.3350000381469727,1.3350000381469727,1.3350000381469727,1.3350000381469727,1693,0.0,0.0
2026-04-02 10:54:00-04:00,1.3378000259399414,1.3389999866485596,1.3350000381469727,1.3350000381469727,6499,0.0,0.0
2026-04-02 10:56:00-04:00,1.3350000381469727,1.3350000381469727,1.3350000381469727,1.3350000381469727,175,0.0,0.0
2026-04-02 10:57:00-04:00,1.3350000381469727,1.3350000381469727,1.3350000381469727,1.3350000381469727,1143,0.0,0.0
2026-04-02 11:00:00-04:00,1.3350000381469727,1.3350000381469727,1.3350000381469727,1.3350000381469727,1516,0.0,0.0
2026-04-02 11:01:00-04:00,1.3350000381469727,1.3350000381469727,1.3350000381469727,1.3350000381469727,1001,0.0,0.0
2026-04-02 11:03:00-04:00,1.3350000381469727,1.3350000381469727,1.3350000381469727,1.3350000381469727,1728,0.0,0.0
2026-04-02 11:04:00-04:00,1.3350000381469727,1.3350000381469727,1.3350000381469727,1.3350000381469727,908,0.0,0.0
2026-04-02 11:06:00-04:00,1.3394999504089355,1.3394999504089355,1.3350000381469727,1.3350000381469727,489,0.0,0.0
2026-04-02 11:07:00-04:00,1.3384000062942505,1.3384000062942505,1.3384000062942505,1.3384000062942505,844,0.0,0.0
2026-04-02 11:09:00-04:00,1.3350000381469727,1.340000033378601,1.3350000381469727,1.340000033378601,4002,0.0,0.0
2026-04-02 11:11:00-04:00,1.340000033378601,1.350000023841858,1.340000033378601,1.3450000286102295,10880,0.0,0.0
2026-04-02 11:12:00-04:00,1.3450000286102295,1.3450000286102295,1.3450000286102295,1.3450000286102295,650,0.0,0.0
2026-04-02 11:13:00-04:00,1.3450000286102295,1.3450000286102295,1.3432999849319458,1.3450000286102295,1149,0.0,0.0
2026-04-02 11:15:00-04:00,1.3450000286102295,1.3450000286102295,1.3450000286102295,1.3450000286102295,213,0.0,0.0
2026-04-02 11:16:00-04:00,1.3450000286102295,1.3450000286102295,1.3450000286102295,1.3450000286102295,432,0.0,0.0
2026-04-02 11:18:00-04:00,1.3450000286102295,1.3450000286102295,1.3450000286102295,1.3450000286102295,1266,0.0,0.0
2026-04-02 11:20:00-04:00,1.340000033378601,1.340000033378601,1.340000033378601,1.340000033378601,337,0.0,0.0
2026-04-02 11:21:00-04:00,1.340000033378601,1.3450000286102295,1.3350000381469727,1.3350000381469727,13782,0.0,0.0
2026-04-02 11:22:00-04:00,1.340000033378601,1.340000033378601,1.340000033378601,1.340000033378601,200,0.0,0.0
2026-04-02 11:23:00-04:00,1.3350000381469727,1.3381999731063843,1.3350000381469727,1.3381999731063843,3710,0.0,0.0
2026-04-02 11:24:00-04:00,1.340000033378601,1.340000033378601,1.340000033378601,1.340000033378601,0,0.0,0.0
2026-04-02 11:25:00-04:00,1.3350000381469727,1.3398000001907349,1.3350000381469727,1.3398000001907349,1027,0.0,0.0
2026-04-02 11:26:00-04:00,1.340000033378601,1.340000033378601,1.340000033378601,1.340000033378601,522,0.0,0.0
2026-04-02 11:27:00-04:00,1.3331999778747559,1.3331999778747559,1.3331999778747559,1.3331999778747559,1552,0.0,0.0
2026-04-02 11:28:00-04:00,1.340000033378601,1.3450000286102295,1.340000033378601,1.3450000286102295,6514,0.0,0.0
2026-04-02 11:30:00-04:00,1.3450000286102295,1.3450000286102295,1.3450000286102295,1.3450000286102295,767,0.0,0.0
2026-04-02 11:33:00-04:00,1.3450000286102295,1.3450000286102295,1.3450000286102295,1.3450000286102295,10296,0.0,0.0
2026-04-02 11:35:00-04:00,1.3450000286102295,1.3494999408721924,1.3450000286102295,1.3494999408721924,4824,0.0,0.0
2026-04-02 11:36:00-04:00,1.3450000286102295,1.3450000286102295,1.3450000286102295,1.3450000286102295,732,0.0,0.0
2026-04-02 11:37:00-04:00,1.3450000286102295,1.3450000286102295,1.3450000286102295,1.3450000286102295,353,0.0,0.0
2026-04-02 11:38:00-04:00,1.3450000286102295,1.3450000286102295,1.3450000286102295,1.3450000286102295,425,0.0,0.0
2026-04-02 11:39:00-04:00,1.3450000286102295,1.3450000286102295,1.3450000286102295,1.3450000286102295,1720,0.0,0.0
2026-04-02 11:40:00-04:00,1.3450000286102295,1.3450000286102295,1.3450000286102295,1.3450000286102295,1721,0.0,0.0
2026-04-02 11:41:00-04:00,1.3450000286102295,1.3450000286102295,1.3450000286102295,1.3450000286102295,108,0.0,0.0
2026-04-02 11:42:00-04:00,1.3450000286102295,1.3450000286102295,1.340000033378601,1.340000033378601,15503,0.0,0.0
2026-04-02 11:43:00-04:00,1.340000033378601,1.350000023841858,1.340000033378601,1.3450000286102295,15830,0.0,0.0
2026-04-02 11:44:00-04:00,1.3450000286102295,1.350000023841858,1.3450000286102295,1.350000023841858,15180,0.0,0.0
2026-04-02 11:45:00-04:00,1.3450000286102295,1.350000023841858,1.3450000286102295,1.350000023841858,2557,0.0,0.0
2026-04-02 11:46:00-04:00,1.350000023841858,1.350000023841858,1.350000023841858,1.350000023841858,200,0.0,0.0
2026-04-02 11:47:00-04:00,1.3499000072479248,1.350000023841858,1.3480000495910645,1.350000023841858,1044,0.0,0.0
2026-04-02 11:49:00-04:00,1.340000033378601,1.3421000242233276,1.340000033378601,1.3421000242233276,1107,0.0,0.0
2026-04-02 11:50:00-04:00,1.3450000286102295,1.3450000286102295,1.340000033378601,1.340000033378601,2775,0.0,0.0
2026-04-02 11:51:00-04:00,1.340000033378601,1.340000033378601,1.340000033378601,1.340000033378601,769,0.0,0.0
2026-04-02 11:53:00-04:00,1.3489999771118164,1.3489999771118164,1.3489999771118164,1.3489999771118164,1613,0.0,0.0
2026-04-02 11:54:00-04:00,1.3450000286102295,1.3450000286102295,1.340000033378601,1.340000033378601,459,0.0,0.0
2026-04-02 11:55:00-04:00,1.3450000286102295,1.3450000286102295,1.3450000286102295,1.3450000286102295,1176,0.0,0.0
2026-04-02 11:58:00-04:00,1.3420000076293945,1.3420000076293945,1.3420000076293945,1.3420000076293945,209,0.0,0.0
2026-04-02 11:59:00-04:00,1.3450000286102295,1.3450000286102295,1.3450000286102295,1.3450000286102295,300,0.0,0.0
2026-04-02 12:00:00-04:00,1.350000023841858,1.350000023841858,1.350000023841858,1.350000023841858,483,0.0,0.0
2026-04-02 12:02:00-04:00,1.3450000286102295,1.3450000286102295,1.3450000286102295,1.3450000286102295,378,0.0,0.0
2026-04-02 12:03:00-04:00,1.3450000286102295,1.3450000286102295,1.3450000286102295,1.3450000286102295,311,0.0,0.0
2026-04-02 12:04:00-04:00,1.350000023841858,1.350000023841858,1.3450000286102295,1.3450000286102295,907,0.0,0.0
2026-04-02 12:05:00-04:00,1.340000033378601,1.3424999713897705,1.340000033378601,1.3424999713897705,584,0.0,0.0
2026-04-02 12:08:00-04:00,1.3410999774932861,1.3410999774932861,1.3410999774932861,1.3410999774932861,722,0.0,0.0
2026-04-02 12:11:00-04:00,1.340000033378601,1.340000033378601,1.3350000381469727,1.3350000381469727,6675,0.0,0.0
2026-04-02 12:12:00-04:00,1.340000033378601,1.340000033378601,1.3350000381469727,1.3381999731063843,2212,0.0,0.0
2026-04-02 12:13:00-04:00,1.340000033378601,1.340000033378601,1.3350000381469727,1.3350000381469727,229,0.0,0.0
2026-04-02 12:15:00-04:00,1.340000033378601,1.340000033378601,1.340000033378601,1.340000033378601,685,0.0,0.0
2026-04-02 12:17:00-04:00,1.340000033378601,1.340000033378601,1.340000033378601,1.340000033378601,325,0.0,0.0
2026-04-02 12:19:00-04:00,1.3348000049591064,1.3350000381469727,1.3348000049591064,1.3350000381469727,1184,0.0,0.0
2026-04-02 12:21:00-04:00,1.339900016784668,1.340000033378601,1.339900016784668,1.340000033378601,1080,0.0,0.0
2026-04-02 12:23:00-04:00,1.3350000381469727,1.3350000381469727,1.3350000381469727,1.3350000381469727,557,0.0,0.0
2026-04-02 12:26:00-04:00,1.3350000381469727,1.3350000381469727,1.3300000429153442,1.3350000381469727,1016,0.0,0.0
2026-04-02 12:27:00-04:00,1.3350000381469727,1.3350000381469727,1.3350000381469727,1.3350000381469727,212,0.0,0.0
2026-04-02 12:28:00-04:00,1.3350000381469727,1.3350000381469727,1.3350000381469727,1.3350000381469727,916,0.0,0.0
2026-04-02 12:33:00-04:00,1.340000033378601,1.340000033378601,1.3350000381469727,1.340000033378601,8061,0.0,0.0
2026-04-02 12:34:00-04:00,1.340000033378601,1.3450000286102295,1.340000033378601,1.3450000286102295,5809,0.0,0.0
2026-04-02 12:35:00-04:00,1.3450000286102295,1.3450000286102295,1.3450000286102295,1.3450000286102295,144,0.0,0.0
2026-04-02 12:37:00-04:00,1.340999960899353,1.340999960899353,1.340999960899353,1.340999960899353,679,0.0,0.0
2026-04-02 12:42:00-04:00,1.3450000286102295,1.3480000495910645,1.3450000286102295,1.3480000495910645,1927,0.0,0.0
2026-04-02 12:44:00-04:00,1.340000033378601,1.3450000286102295,1.340000033378601,1.3450000286102295,742,0.0,0.0
2026-04-02 12:47:00-04:00,1.3450000286102295,1.3450000286102295,1.3450000286102295,1.3450000286102295,519,0.0,0.0
2026-04-02 12:50:00-04:00,1.3499000072479248,1.3499000072479248,1.3450000286102295,1.3450000286102295,1538,0.0,0.0
