datetime,close,high,low,open,volume
2025-04-14,533.009765625,538.1113174755011,527.8093712828247,537.883883195208,68034000
2025-04-15,531.5169677734375,537.0732685211545,530.726046664157,533.5536182929557,56892900
2025-04-16,519.7023315429688,531.7937621429162,514.3931980244283,525.6541223320015,83484800
2025-04-17,520.44384765625,525.1499093262158,517.9721816819745,521.6599483491107,79868100
2025-04-21,508.05584716796875,515.7872249375157,502.6972625032136,515.2533065114334,69368100
2025-04-22,521.2743530273438,523.3011070538847,513.305704354498,514.2449494916972,75948100
2025-04-23,529.3517456054688,539.2483058984949,527.8292210770832,534.3049739114415,90590700
2025-04-24,540.4939575195312,541.2255608935037,529.3813584649887,530.6369235756985,64150400
2025-04-25,544.3992919921875,544.804618673288,537.5280483044934,540.454522631326,61119600
2025-04-28,544.6068725585938,547.2762839575454,538.8429907853031,545.1407910444296,47613800
2025-04-29,548.0375366210938,549.1547344204944,542.3329124899421,542.6888178923871,47775100
2025-04-30,548.2550048828125,550.2126052496137,535.382610300473,541.3640295279456,93101500
2025-05-01,552.1405029296875,557.6770710508032,551.5374308999284,554.0189932525213,63186100
2025-05-02,560.3364868164062,561.9381212948161,556.0061238656243,558.3294653880318,60717300
2025-05-05,557.1234130859375,560.2278400664005,555.3339293144951,556.194064255589,38659200
2025-05-06,552.466796875,556.9652171268149,550.64768441023,551.6066618961361,48264700
2025-05-07,554.7901611328125,557.4298834610689,549.738030089525,553.8014947566288,55588000
2025-05-08,558.6558227539062,563.8463212534109,555.333918196641,558.8337754612519,65130800
2025-05-09,557.9440307617188,561.0681900796083,556.3819209310694,560.0597310271954,37603400
2025-05-12,576.3826293945312,576.3925257137258,570.5000520977247,574.8798371188,78993600
2025-05-13,580.18896484375,582.403567726764,576.2342995973956,576.7977862928067,67947200
2025-05-14,580.930419921875,582.3046201283636,578.9036058641954,581.1478975288738,66283500
2025-05-15,583.7679443359375,584.2721134769878,578.4686469334371,578.9234551699535,71268100
2025-05-16,587.465576171875,587.7621640177526,582.6013544692614,584.5489982766968,76052100
2025-05-19,588.108154296875,588.7903364922698,581.4346564328234,581.4346564328234,68168500
2025-05-20,586.1307983398438,587.317209981726,582.917632829089,586.3681289429425,60614500
2025-05-21,576.2540893554688,585.8639582409971,575.2258980125081,581.7708648204313,95197700
2025-05-22,576.4815063476562,579.971467292194,574.8204937262445,576.0563267018498,70860400
2025-05-23,572.5465698242188,575.2159811048424,569.0763411937487,569.4520392436427,76029000
2025-05-27,584.4501342773438,584.6082943415249,571.8742669840636,579.4276923460704,72588500
2025-05-28,581.06884765625,586.0517646206928,580.3372442209068,584.8554566278126,68445500
2025-05-29,583.3626098632812,586.4769332279744,579.4277368161022,586.3385054465637,69973300
2025-05-30,582.7100830078125,584.430352826958,576.6297607292682,582.2552747565533,90601200
2025-06-02,585.9924926757812,586.0715425417425,578.429170462151,581.0985818518681,61630500
2025-06-03,589.3341064453125,590.3128764026674,585.1421107506463,585.6266079138771,63606200
2025-06-04,589.1759643554688,591.1730898063917,588.7409487228937,590.1943197189499,57314200
2025-06-05,586.3285522460938,592.2111289512687,584.3512195951713,590.8566609128592,92278700
